season,lg,team,abbreviation,playoffs,g,fg_percent,x3p_percent,x2p_percent,ft_percent,pts
2024,NBA,Atlanta Hawks,ATL,FALSE,82,0.465,0.364,0.535,0.797,9703
2024,NBA,Boston Celtics,BOS,TRUE,82,0.487,0.388,0.575,0.807,9887
2024,NBA,Brooklyn Nets,BRK,FALSE,82,0.456,0.362,0.522,0.756,9050
2024,NBA,Chicago Bulls,CHI,FALSE,82,0.47,0.358,0.532,0.791,9206
2024,NBA,Cleveland Cavaliers,CLE,FALSE,82,0.479,0.367,0.561,0.765,9236
2024,NBA,Dallas Mavericks,DAL,TRUE,82,0.481,0.369,0.569,0.758,9664
2024,NBA,Denver Nuggets,DEN,TRUE,82,0.496,0.374,0.562,0.762,9418
2024,NBA,Detroit Pistons,DET,FALSE,82,0.463,0.348,0.528,0.785,9010
2024,NBA,Golden State Warriors,GSW,FALSE,82,0.477,0.38,0.548,0.78,9657
2024,NBA,Houston Rockets,HOU,FALSE,82,0.459,0.352,0.53,0.773,9375
2024,NBA,Indiana Pacers,IND,FALSE,82,0.507,0.374,0.589,0.782,10110
2024,NBA,Los Angeles Lakers,LAL,FALSE,82,0.499,0.377,0.567,0.782,9679
2024,NBA,Memphis Grizzlies,MEM,FALSE,82,0.435,0.346,0.502,0.764,8677
2024,NBA,Miami Heat,MIA,FALSE,82,0.465,0.37,0.527,0.818,9032
2024,NBA,Milwaukee Bucks,MIL,TRUE,82,0.487,0.373,0.574,0.774,9756
2024,NBA,Minnesota Timberwolves,MIN,TRUE,82,0.485,0.387,0.546,0.777,9264
2024,NBA,New Orleans Pelicans,NOP,FALSE,82,0.486,0.383,0.548,0.771,9436
2024,NBA,New York Knicks,NYK,FALSE,82,0.465,0.369,0.531,0.78,9249
2024,NBA,Oklahoma City Thunder,OKC,TRUE,82,0.499,0.389,0.567,0.825,9847
2024,NBA,Orlando Magic,ORL,FALSE,82,0.476,0.352,0.549,0.759,9058
2024,NBA,Philadelphia 76ers,PHI,FALSE,82,0.464,0.363,0.525,0.826,9397
2024,NBA,Phoenix Suns,PHO,FALSE,82,0.493,0.382,0.561,0.808,9532
2024,NBA,Portland Trail Blazers,POR,FALSE,82,0.439,0.345,0.494,0.791,8722
2024,NBA,Sacramento Kings,SAC,FALSE,82,0.477,0.366,0.561,0.745,9558
2024,NBA,San Antonio Spurs,SAS,FALSE,82,0.462,0.347,0.539,0.782,9192
2024,NBA,Toronto Raptors,TOR,FALSE,82,0.471,0.347,0.543,0.756,9213
2024,NBA,Utah Jazz,UTA,FALSE,82,0.467,0.354,0.544,0.83,9484
2024,NBA,Washington Wizards,WAS,FALSE,82,0.47,0.348,0.548,0.764,9327
2023,NBA,Atlanta Hawks,ATL,FALSE,82,0.483,0.352,0.548,0.818,9711
2023,NBA,Boston Celtics,BOS,FALSE,82,0.475,0.377,0.567,0.812,9671
2023,NBA,Brooklyn Nets,BRK,FALSE,82,0.487,0.378,0.559,0.8,9295
2023,NBA,Chicago Bulls,CHI,FALSE,82,0.49,0.361,0.555,0.809,9276
2023,NBA,Cleveland Cavaliers,CLE,FALSE,82,0.488,0.367,0.559,0.78,9205
2023,NBA,Dallas Mavericks,DAL,FALSE,82,0.475,0.371,0.574,0.755,9366
2023,NBA,Denver Nuggets,DEN,FALSE,82,0.504,0.379,0.575,0.751,9495
2023,NBA,Detroit Pistons,DET,FALSE,82,0.454,0.351,0.516,0.771,9045
2023,NBA,Golden State Warriors,GSW,FALSE,82,0.479,0.385,0.564,0.794,9753
2023,NBA,Houston Rockets,HOU,FALSE,82,0.457,0.327,0.53,0.754,9081
2023,NBA,Indiana Pacers,IND,FALSE,82,0.469,0.367,0.54,0.79,9535
2023,NBA,Los Angeles Lakers,LAL,FALSE,82,0.482,0.346,0.555,0.775,9608
2023,NBA,Memphis Grizzlies,MEM,FALSE,82,0.475,0.351,0.548,0.733,9587
2023,NBA,Miami Heat,MIA,FALSE,82,0.46,0.344,0.54,0.831,8977
2023,NBA,Milwaukee Bucks,MIL,FALSE,82,0.473,0.368,0.557,0.743,9589
2023,NBA,Minnesota Timberwolves,MIN,FALSE,82,0.49,0.365,0.568,0.755,9494
2023,NBA,New Orleans Pelicans,NOP,FALSE,82,0.48,0.364,0.541,0.793,9378
2023,NBA,New York Knicks,NYK,FALSE,82,0.47,0.354,0.547,0.761,9514
2023,NBA,Oklahoma City Thunder,OKC,FALSE,82,0.465,0.356,0.53,0.809,9633
2023,NBA,Orlando Magic,ORL,FALSE,82,0.47,0.346,0.539,0.784,9136
2023,NBA,Philadelphia 76ers,PHI,FALSE,82,0.487,0.387,0.551,0.835,9448
2023,NBA,Phoenix Suns,PHO,FALSE,82,0.467,0.374,0.52,0.793,9319
2023,NBA,Portland Trail Blazers,POR,FALSE,82,0.474,0.365,0.55,0.796,9299
2023,NBA,Sacramento Kings,SAC,FALSE,82,0.494,0.369,0.586,0.79,9898
2023,NBA,San Antonio Spurs,SAS,FALSE,82,0.465,0.345,0.529,0.743,9269
2023,NBA,Toronto Raptors,TOR,FALSE,82,0.459,0.335,0.525,0.784,9254
2023,NBA,Utah Jazz,UTA,FALSE,82,0.473,0.353,0.56,0.786,9600
2023,NBA,Washington Wizards,WAS,FALSE,82,0.485,0.356,0.559,0.785,9279
2022,NBA,Atlanta Hawks,ATL,TRUE,82,0.47,0.374,0.531,0.812,9343
2022,NBA,Boston Celtics,BOS,TRUE,82,0.466,0.356,0.547,0.816,9164
2022,NBA,Brooklyn Nets,BRK,TRUE,82,0.475,0.361,0.538,0.805,9258
2022,NBA,Chicago Bulls,CHI,TRUE,82,0.48,0.369,0.535,0.813,9152
2022,NBA,Cleveland Cavaliers,CLE,FALSE,82,0.469,0.355,0.541,0.76,8839
2022,NBA,Dallas Mavericks,DAL,TRUE,82,0.461,0.35,0.548,0.771,8858
2022,NBA,Denver Nuggets,DEN,TRUE,82,0.483,0.353,0.575,0.795,9243
2022,NBA,Detroit Pistons,DET,FALSE,82,0.431,0.326,0.498,0.782,8596
2022,NBA,Golden State Warriors,GSW,TRUE,82,0.469,0.364,0.557,0.769,9102
2022,NBA,Houston Rockets,HOU,FALSE,82,0.456,0.349,0.543,0.713,8997
2022,NBA,Indiana Pacers,IND,FALSE,82,0.463,0.344,0.541,0.768,9140
2022,NBA,Los Angeles Lakers,LAL,FALSE,82,0.469,0.347,0.546,0.732,9192
2022,NBA,Memphis Grizzlies,MEM,TRUE,82,0.461,0.353,0.519,0.734,9480
2022,NBA,Miami Heat,MIA,TRUE,82,0.467,0.379,0.531,0.808,9022
2022,NBA,Milwaukee Bucks,MIL,TRUE,82,0.468,0.366,0.544,0.776,9470
2022,NBA,Minnesota Timberwolves,MIN,TRUE,82,0.457,0.358,0.54,0.778,9507
2022,NBA,New Orleans Pelicans,NOP,TRUE,82,0.457,0.332,0.528,0.789,8962
2022,NBA,New York Knicks,NYK,FALSE,82,0.437,0.357,0.497,0.744,8731
2022,NBA,Oklahoma City Thunder,OKC,FALSE,82,0.43,0.323,0.507,0.756,8506
2022,NBA,Orlando Magic,ORL,FALSE,82,0.434,0.331,0.507,0.787,8547
2022,NBA,Philadelphia 76ers,PHI,TRUE,82,0.466,0.364,0.527,0.821,9015
2022,NBA,Phoenix Suns,PHO,TRUE,82,0.485,0.364,0.551,0.797,9416
2022,NBA,Portland Trail Blazers,POR,FALSE,82,0.442,0.346,0.513,0.76,8711
2022,NBA,Sacramento Kings,SAC,FALSE,82,0.46,0.344,0.53,0.768,9045
2022,NBA,San Antonio Spurs,SAS,FALSE,82,0.467,0.352,0.527,0.754,9279
2022,NBA,Toronto Raptors,TOR,TRUE,82,0.445,0.349,0.503,0.759,8970
2022,NBA,Utah Jazz,UTA,TRUE,82,0.471,0.36,0.568,0.767,9316
2022,NBA,Washington Wizards,WAS,FALSE,82,0.472,0.342,0.543,0.783,8907
2021,NBA,Atlanta Hawks,ATL,TRUE,72,0.468,0.373,0.526,0.812,8186
2021,NBA,Boston Celtics,BOS,TRUE,72,0.466,0.374,0.53,0.775,8109
