Record_id,G_id,BetType_id,Odds1,Odds2,Lastest_modified,Status
R000000001,11200005,BT00000002,14.24,13.96,2012/10/6 08:14,Expired
R000000002,11200008,BT00000004,12.88,11.21,2012/10/7 12:17,Expired
R000000003,11200009,BT00000004,11.83,20.59,2012/10/7 12:26,Expired
R000000004,11200008,BT00000007,18.2,17.39,2012/10/7 12:42,Expired
R000000005,11200013,BT00000001,13.39,7.67,2012/10/8 17:33,Expired
R000000006,11200015,BT00000002,5.13,15.29,2012/10/9 03:53,Expired
R000000007,11200020,BT00000006,14.83,7.63,2012/10/10 01:25,Expired
R000000008,11200020,BT00000002,16.4,20.94,2012/10/10 03:50,Expired
R000000009,11200024,BT00000006,2.94,16.05,2012/10/10 04:46,Expired
R000000010,11200020,BT00000007,4.51,22.79,2012/10/10 10:34,Expired
R000000012,11200020,BT00000005,15.42,5.08,2012/10/10 14:19,Expired
R000000013,11200025,BT00000001,16.44,13.46,2012/10/11 02:53,Expired
R000000014,11200026,BT00000004,5.94,6.16,2012/10/11 09:19,Expired
R000000015,11200028,BT00000004,14.49,13.6,2012/10/11 19:56,Expired
R000000016,11200030,BT00000004,23.64,14.44,2012/10/12 05:22,Expired
R000000017,11200032,BT00000005,17.91,8.91,2012/10/12 13:29,Expired
R000000018,11200034,BT00000006,11.77,9.05,2012/10/12 14:14,Expired
R000000019,11200034,BT00000003,11.26,12.2,2012/10/12 18:55,Expired
R000000020,11200035,BT00000001,7.46,14.81,2012/10/12 21:10,Expired
R000000021,11200038,BT00000002,23.56,14.19,2012/10/13 04:06,Expired
R000000022,11200044,BT00000007,17.35,8.05,2012/10/14 03:18,Expired
R000000023,11200045,BT00000005,7.22,22.7,2012/10/14 16:49,Expired
R000000024,11200043,BT00000002,6.8,1.52,2012/10/14 21:22,Expired
R000000025,11200045,BT00000007,10.64,14.88,2012/10/14 22:02,Expired
R000000026,11200046,BT00000003,13.89,14.72,2012/10/15 02:27,Expired
R000000027,11200051,BT00000004,10.23,8.31,2012/10/15 17:01,Expired
R000000028,11200057,BT00000003,11.75,23.9,2012/10/16 03:05,Expired
R000000029,11200058,BT00000005,15.54,8.74,2012/10/16 07:36,Expired
R000000030,11200055,BT00000001,18.88,3.63,2012/10/16 08:29,Expired
R000000031,11200057,BT00000001,9.7,20.78,2012/10/16 19:23,Expired
