Record_id,G_id,BetType_id,Odds1,Odds2,Lastest_modified,Status
R00001,11200880,BT0001,21.21,19.97,2020-02-26 01:39:09,Expired
R00002,41301120,BT0004,29.78,2.36,2023-10-24 20:35:03,Expired
R00003,41601029,BT0006,4.56,28.79,2020-01-13 05:51:08,Expired
R00004,11401299,BT0004,17.29,13.45,2022-01-02 19:45:42,Expired
R00005,21500473,BT0002,12.32,29.4,2023-08-31 15:09:18,Expired
R00006,21600274,BT0004,12.36,20.48,2020-01-02 14:35:33,Expired
R00007,41500789,BT0002,4.9,21.25,2023-02-08 16:35:51,Expired
R00008,21501111,BT0002,22.22,19.0,2023-04-21 20:06:17,Expired
R00009,12100239,BT0003,15.03,4.47,2023-06-05 21:47:14,Expired
R00010,11400594,BT0006,14.72,12.12,2024-03-13 23:55:07,Expired
R00011,42100266,BT0007,14.26,20.1,2021-12-01 10:12:03,Expired
R00012,21800839,BT0003,10.24,7.79,2024-11-21 19:57:34,Expired
R00013,21400445,BT0002,27.74,21.1,2022-09-12 23:07:23,Expired
R00014,41600939,BT0002,6.37,12.02,2023-12-02 07:57:55,Expired
R00015,41300070,BT0001,17.41,21.23,2024-08-17 09:28:13,Expired
R00016,11900607,BT0001,26.91,28.87,2022-05-22 22:18:19,Expired
R00017,21200457,BT0002,5.37,27.45,2020-07-10 00:41:58,Expired
R00018,11400348,BT0006,17.19,6.52,2024-08-05 11:45:13,Expired
R00019,41700673,BT0002,28.03,16.99,2020-04-17 22:24:40,Expired
R00020,41201126,BT0007,11.12,25.75,2022-10-06 02:37:05,Expired
R00021,11200347,BT0004,29.54,16.24,2024-07-17 15:33:13,Expired
R00022,41800964,BT0006,22.11,11.25,2022-02-27 05:11:01,Expired
R00023,11301062,BT0001,21.05,8.84,2020-09-04 14:33:27,Expired
R00024,21300805,BT0007,16.21,24.96,2020-01-03 17:38:39,Expired
R00025,21200823,BT0001,13.11,2.64,2020-01-13 18:51:29,Expired
R00026,11601002,BT0003,22.92,22.24,2021-03-17 04:10:27,Expired
R00027,41400659,BT0001,1.78,7.45,2024-08-18 13:57:06,Expired
R00028,21400471,BT0002,13.63,2.51,2022-11-20 06:34:11,Expired
R00029,11500534,BT0002,25.67,10.54,2023-07-14 01:35:11,Expired
R00030,11500960,BT0005,21.81,12.19,2021-10-24 16:37:22,Expired
R00031,11201136,BT0004,3.52,9.58,2021-07-26 09:50:12,Expired
R00032,21401175,BT0005,27.35,11.36,2024-03-10 08:33:06,Expired
R00033,42000112,BT0005,22.52,7.39,2021-05-06 02:14:32,Expired
