game_id,season_id,season_type,stad_id,home_team_id,away_team_id,home_score,away_score,home_win,game_date,status
11200005,12012,Pre Season,s013,1610612746,1610612743,104 ,106 ,L,2012/10/6,Ended
11200006,12012,Pre Season,s004,1610612766,1610612764,100 ,88 ,W,2012/10/7,Ended
11200008,12012,Pre Season,s001,1610612737,1610612748,92 ,79 ,W,2012/10/7,Ended
11200009,12012,Pre Season,s014,1610612747,1610612744,83 ,110 ,L,2012/10/7,Ended
11200013,12012,Pre Season,s010,1610612744,1610612762,83 ,80 ,W,2012/10/8,Ended
11200014,12012,Pre Season,s006,1610612739,1610612749,80 ,97 ,L,2012/10/9,Ended
11200015,12012,Pre Season,s005,1610612741,1610612763,92 ,88 ,W,2012/10/9,Ended
11200019,12012,Pre Season,s011,1610612745,1610612760,107 ,105 ,W,2012/10/10,Ended
11200020,12012,Pre Season,s018,1610612750,1610612754,84 ,70 ,W,2012/10/10,Ended
11200021,12012,Pre Season,s026,1610612758,1610612756,102 ,96 ,W,2012/10/10,Ended
11200022,12012,Pre Season,s014,1610612747,1610612757,75 ,93 ,L,2012/10/10,Ended
11200023,12012,Pre Season,s009,1610612765,1610612761,101 ,99 ,W,2012/10/10,Ended
11200024,12012,Pre Season,s027,1610612759,1610612737,101 ,99 ,W,2012/10/10,Ended
11200025,12012,Pre Season,s030,1610612764,1610612752,101 ,108 ,L,2012/10/11,Ended
11200026,12012,Pre Season,s022,1610612753,1610612755,95 ,102 ,L,2012/10/11,Ended
11200028,12012,Pre Season,s013,1610612746,1610612748,80 ,94 ,L,2012/10/11,Ended
11200030,12012,Pre Season,s028,1610612761,1610612765,82 ,75 ,W,2012/10/12,Ended
11200031,12012,Pre Season,s012,1610612754,1610612750,96 ,91 ,W,2012/10/12,Ended
11200032,12012,Pre Season,s005,1610612741,1610612739,83 ,86 ,L,2012/10/12,Ended
11200034,12012,Pre Season,s029,1610612762,1610612760,97 ,81 ,W,2012/10/12,Ended
11200035,12012,Pre Season,s024,1610612756,1610612757,104 ,93 ,W,2012/10/12,Ended
11200036,12012,Pre Season,s027,1610612759,1610612743,91 ,97 ,L,2012/10/12,Ended
11200037,12012,Pre Season,s023,1610612755,1610612751,105 ,108 ,L,2012/10/13,Ended
11200038,12012,Pre Season,s018,1610612750,1610612741,82 ,75 ,W,2012/10/13,Ended
11200039,12012,Pre Season,s002,1610612738,1610612752,95 ,98 ,L,2012/10/13,Ended
11200040,12012,Pre Season,s006,1610612739,1610612764,95 ,99 ,L,2012/10/13,Ended
11200041,12012,Pre Season,s017,1610612749,1610612765,108 ,91 ,W,2012/10/13,Ended
11200042,12012,Pre Season,s014,1610612747,1610612762,86 ,99 ,L,2012/10/13,Ended
11200043,12012,Pre Season,s016,1610612748,1610612746,89 ,99 ,L,2012/10/14,Ended
11200044,12012,Pre Season,s011,1610612745,1610612759,107 ,116 ,L,2012/10/14,Ended
11200045,12012,Pre Season,s015,1610612763,1610612737,110 ,102 ,W,2012/10/14,Ended
11200046,12012,Pre Season,s023,1610612755,1610612738,107 ,75 ,W,2012/10/15,Ended
11200047,12012,Pre Season,s006,1610612739,1610612753,114 ,111 ,W,2012/10/15,Ended
11200049,12012,Pre Season,s008,1610612743,1610612744,104 ,98 ,W,2012/10/15,Ended
11200050,12012,Pre Season,s026,1610612758,1610612757,117 ,100 ,W,2012/10/15,Ended
11200051,12012,Pre Season,s003,1610612751,1610612764,98 ,88 ,W,2012/10/15,Ended
11200052,12012,Pre Season,s007,1610612742,1610612745,123 ,104 ,W,2012/10/15,Ended
11200053,12012,Pre Season,s012,1610612754,1610612737,102 ,98 ,W,2012/10/16,Ended
11200054,12012,Pre Season,s005,1610612741,1610612749,100 ,94 ,W,2012/10/16,Ended
11200055,12012,Pre Season,s021,1610612760,1610612766,120 ,98 ,W,2012/10/16,Ended
11200057,12012,Pre Season,s014,1610612747,1610612762,80 ,114 ,L,2012/10/16,Ended
11200058,12012,Pre Season,s002,1610612738,1610612751,96 ,97 ,L,2012/10/16,Ended
11200059,12012,Pre Season,s009,1610612765,1610612753,112 ,86 ,W,2012/10/16,Ended
11200060,12012,Pre Season,s028,1610612761,1610612764,104 ,101 ,W,2012/10/17,Ended
11200061,12012,Pre Season,s023,1610612755,1610612739,113 ,99 ,W,2012/10/17,Ended
11200062,12012,Pre Season,s011,1610612745,1610612763,109 ,102 ,W,2012/10/17,Ended
11200063,12012,Pre Season,s026,1610612758,1610612744,88 ,98 ,L,2012/10/17,Ended
11200064,12012,Pre Season,s025,1610612757,1610612743,97 ,80 ,W,2012/10/17,Ended
11200065,12012,Pre Season,s007,1610612742,1610612756,94 ,100 ,L,2012/10/17,Ended
11200066,12012,Pre Season,s013,1610612746,1610612762,96 ,94 ,W,2012/10/17,Ended
11200067,12012,Pre Season,s017,1610612749,1610612763,94 ,97 ,L,2012/10/18,Ended
11200069,12012,Pre Season,s016,1610612748,1610612765,105 ,78 ,W,2012/10/18,Ended
11200070,12012,Pre Season,s003,1610612751,1610612738,85 ,115 ,L,2012/10/18,Ended
11200071,12012,Pre Season,s028,1610612761,1610612752,107 ,88 ,W,2012/10/19,Ended
11200072,12012,Pre Season,s022,1610612753,1610612754,112 ,96 ,W,2012/10/19,Ended
11200073,12012,Pre Season,s005,1610612741,1610612750,92 ,81 ,W,2012/10/19,Ended
11200074,12012,Pre Season,s021,1610612760,1610612756,107 ,97 ,W,2012/10/19,Ended
11200075,12012,Pre Season,s014,1610612747,1610612758,98 ,103 ,L,2012/10/19,Ended
11200076,12012,Pre Season,s025,1610612757,1610612744,97 ,101 ,L,2012/10/19,Ended
11200077,12012,Pre Season,s003,1610612751,1610612755,96 ,106 ,L,2012/10/19,Ended
11200078,12012,Pre Season,s001,1610612737,1610612742,110 ,94 ,W,2012/10/20,Ended
11200079,12012,Pre Season,s012,1610612754,1610612763,83 ,80 ,W,2012/10/20,Ended
11200080,12012,Pre Season,s029,1610612762,1610612746,99 ,91 ,W,2012/10/20,Ended
11200081,12012,Pre Season,s002,1610612738,1610612752,109 ,98 ,W,2012/10/20,Ended
11200082,12012,Pre Season,s016,1610612748,1610612759,104 ,101 ,W,2012/10/20,Ended
11200083,12012,Pre Season,s009,1610612765,1610612766,85 ,80 ,W,2012/10/20,Ended
11200084,12012,Pre Season,s017,1610612749,1610612764,94 ,102 ,L,2012/10/20,Ended
11200085,12012,Pre Season,s022,1610612753,1610612759,104 ,100 ,W,2012/10/21,Ended
11200086,12012,Pre Season,s014,1610612747,1610612758,92 ,99 ,L,2012/10/21,Ended
11200087,12012,Pre Season,s021,1610612760,1610612743,108 ,101 ,W,2012/10/21,Ended
11200088,12012,Pre Season,s002,1610612738,1610612755,79 ,88 ,L,2012/10/21,Ended
11200089,12012,Pre Season,s028,1610612761,1610612749,104 ,95 ,W,2012/10/22,Ended
11200090,12012,Pre Season,s024,1610612756,1610612758,103 ,88 ,W,2012/10/22,Ended
11200091,12012,Pre Season,s025,1610612757,1610612762,120 ,114 ,W,2012/10/22,Ended
11200092,12012,Pre Season,s023,1610612755,1610612752,98 ,90 ,W,2012/10/22,Ended
11200094,12012,Pre Season,s013,1610612746,1610612744,88 ,71 ,W,2012/10/22,Ended
11200095,12012,Pre Season,s004,1610612766,1610612748,92 ,98 ,L,2012/10/23,Ended
11200096,12012,Pre Season,s006,1610612739,1610612754,82 ,100 ,L,2012/10/23,Ended
11200097,12012,Pre Season,s005,1610612741,1610612760,94 ,89 ,W,2012/10/23,Ended
11200098,12012,Pre Season,s010,1610612744,1610612756,107 ,92 ,W,2012/10/23,Ended
11200017,12012,Pre Season,s003,1610612751,1610612752,95 ,97 ,L,2012/10/24,Ended
11200099,12012,Pre Season,s015,1610612763,1610612753,115 ,100 ,W,2012/10/24,Ended
11200101,12012,Pre Season,s021,1610612760,1610612742,88 ,76 ,W,2012/10/24,Ended
11200102,12012,Pre Season,s018,1610612750,1610612765,95 ,76 ,W,2012/10/24,Ended
11200104,12012,Pre Season,s016,1610612748,1610612764,94 ,101 ,L,2012/10/24,Ended
11200105,12012,Pre Season,s013,1610612746,1610612747,97 ,91 ,W,2012/10/24,Ended
11200106,12012,Pre Season,s004,1610612766,1610612749,90 ,100 ,L,2012/10/25,Ended
11200107,12012,Pre Season,s029,1610612762,1610612757,97 ,91 ,W,2012/10/25,Ended
11200108,12012,Pre Season,s014,1610612747,1610612758,82 ,94 ,L,2012/10/25,Ended
11200109,12012,Pre Season,s008,1610612743,1610612746,94 ,106 ,L,2012/10/25,Ended
11200048,12012,Pre Season,s015,1610612763,1610612761,106 ,120 ,L,2012/10/26,Ended
11200110,12012,Pre Season,s022,1610612753,1610612745,92 ,108 ,L,2012/10/26,Ended
11200111,12012,Pre Season,s005,1610612741,1610612754,97 ,90 ,W,2012/10/26,Ended
11200112,12012,Pre Season,s017,1610612749,1610612750,76 ,100 ,L,2012/10/26,Ended
11200114,12012,Pre Season,s009,1610612765,1610612737,104 ,88 ,W,2012/10/26,Ended
11200115,12012,Pre Season,s007,1610612742,1610612766,99 ,82 ,W,2012/10/26,Ended
11200116,12012,Pre Season,s027,1610612759,1610612764,100 ,85 ,W,2012/10/26,Ended
11200117,12012,Pre Season,s024,1610612756,1610612743,88 ,72 ,W,2012/10/26,Ended
41200111,42012,Playoffs,s020,1610612752,1610612738,85 ,78 ,W,2013/4/20,Ended
41200131,42012,Playoffs,s003,1610612751,1610612741,106 ,89 ,W,2013/4/20,Ended
41200161,42012,Playoffs,s008,1610612743,1610612744,97 ,95 ,W,2013/4/20,Ended
41200171,42012,Playoffs,s013,1610612746,1610612763,112 ,91 ,W,2013/4/20,Ended
41200101,42012,Playoffs,s016,1610612748,1610612749,110 ,87 ,W,2013/4/21,Ended
41200121,42012,Playoffs,s012,1610612754,1610612737,107 ,90 ,W,2013/4/21,Ended
41200141,42012,Playoffs,s021,1610612760,1610612745,120 ,91 ,W,2013/4/21,Ended
41200151,42012,Playoffs,s027,1610612759,1610612747,91 ,79 ,W,2013/4/21,Ended
41200132,42012,Playoffs,s003,1610612751,1610612741,82 ,90 ,L,2013/4/22,Ended
41200172,42012,Playoffs,s013,1610612746,1610612763,93 ,91 ,W,2013/4/22,Ended
41200102,42012,Playoffs,s016,1610612748,1610612749,98 ,86 ,W,2013/4/23,Ended
41200112,42012,Playoffs,s020,1610612752,1610612738,87 ,71 ,W,2013/4/23,Ended
41200162,42012,Playoffs,s008,1610612743,1610612744,117 ,131 ,L,2013/4/23,Ended
41200122,42012,Playoffs,s012,1610612754,1610612737,113 ,98 ,W,2013/4/24,Ended
41200142,42012,Playoffs,s021,1610612760,1610612745,105 ,102 ,W,2013/4/24,Ended
41200152,42012,Playoffs,s027,1610612759,1610612747,102 ,91 ,W,2013/4/24,Ended
41200103,42012,Playoffs,s017,1610612749,1610612748,91 ,104 ,L,2013/4/25,Ended
41200133,42012,Playoffs,s005,1610612741,1610612751,79 ,76 ,W,2013/4/25,Ended
41200173,42012,Playoffs,s015,1610612763,1610612746,94 ,82 ,W,2013/4/25,Ended
41200113,42012,Playoffs,s002,1610612738,1610612752,76 ,90 ,L,2013/4/26,Ended
41200153,42012,Playoffs,s014,1610612747,1610612759,89 ,120 ,L,2013/4/26,Ended
41200163,42012,Playoffs,s010,1610612744,1610612743,110 ,108 ,W,2013/4/26,Ended
41200123,42012,Playoffs,s001,1610612737,1610612754,90 ,69 ,W,2013/4/27,Ended
41200134,42012,Playoffs,s005,1610612741,1610612751,142 ,134 ,W,2013/4/27,Ended
41200143,42012,Playoffs,s011,1610612745,1610612760,101 ,104 ,L,2013/4/27,Ended
41200174,42012,Playoffs,s015,1610612763,1610612746,104 ,83 ,W,2013/4/27,Ended
41200104,42012,Playoffs,s017,1610612749,1610612748,77 ,88 ,L,2013/4/28,Ended
41200114,42012,Playoffs,s002,1610612738,1610612752,97 ,90 ,W,2013/4/28,Ended
41200154,42012,Playoffs,s014,1610612747,1610612759,82 ,103 ,L,2013/4/28,Ended
41200164,42012,Playoffs,s010,1610612744,1610612743,115 ,101 ,W,2013/4/28,Ended
41200124,42012,Playoffs,s001,1610612737,1610612754,102 ,91 ,W,2013/4/29,Ended
41200135,42012,Playoffs,s003,1610612751,1610612741,110 ,91 ,W,2013/4/29,Ended
41200144,42012,Playoffs,s011,1610612745,1610612760,105 ,103 ,W,2013/4/29,Ended
41200165,42012,Playoffs,s008,1610612743,1610612744,107 ,100 ,W,2013/4/30,Ended
41200175,42012,Playoffs,s013,1610612746,1610612763,93 ,103 ,L,2013/4/30,Ended
41200115,42012,Playoffs,s020,1610612752,1610612738,86 ,92 ,L,2013/5/1,Ended
41200125,42012,Playoffs,s012,1610612754,1610612737,106 ,83 ,W,2013/5/1,Ended
41200145,42012,Playoffs,s021,1610612760,1610612745,100 ,107 ,L,2013/5/1,Ended
41200136,42012,Playoffs,s005,1610612741,1610612751,92 ,95 ,L,2013/5/2,Ended
41200166,42012,Playoffs,s010,1610612744,1610612743,92 ,88 ,W,2013/5/2,Ended
41200116,42012,Playoffs,s002,1610612738,1610612752,80 ,88 ,L,2013/5/3,Ended
41200126,42012,Playoffs,s001,1610612737,1610612754,73 ,81 ,L,2013/5/3,Ended
41200146,42012,Playoffs,s011,1610612745,1610612760,94 ,103 ,L,2013/5/3,Ended
41200176,42012,Playoffs,s015,1610612763,1610612746,118 ,105 ,W,2013/5/3,Ended
41200137,42012,Playoffs,s003,1610612751,1610612741,93 ,99 ,L,2013/5/4,Ended
41200211,42012,Playoffs,s020,1610612752,1610612754,95 ,102 ,L,2013/5/5,Ended
41200221,42012,Playoffs,s021,1610612760,1610612763,93 ,91 ,W,2013/5/5,Ended
